area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;180150;005701;068;05;1;1;2;1;2;1;1;1;1;2;1;1;1;1;1; ; ;1; ; ;1;1;1;2;5;80; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2;2912;94,314983001098;180150005701;18015000570106805;180150005701068051;202507
1;180150;005701;068;06;1;1;1;3;3;2;2;1;2;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2; ;2; ;1;2;1;2;2; ;1;2912;94,314983001098;180150005701;18015000570106806;180150005701068061;202507
1;180150;005701;068;08;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;1;2;1;20;1;12;2; ;2; ;2; ;2; ;1;2;2; ;2; ;1;3;1;3;1;2;1;2912;94,314983001098;180150005701;18015000570106808;180150005701068081;202507
1;180150;006501;054;01;1;1;3;3;3;4;3;1;3;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;3;1;3;2; ;2;2913;53,5010452217334;180150006501;18015000650105401;180150006501054011;202507
1;180150;006501;054;02;1;3;3;3;2;4;2;1;2;1;1;0;1;1;1; ; ;1; ; ;1;2;1;2;4;70; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;2; ;2; ;2;2913;53,5010452217334;180150006501;18015000650105402;180150006501054021;202507
1;180150;006501;054;03;1;1;1;1;1;2;2;1;2;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;3;1;3;1;2;1;2913;53,5010452217334;180150006501;18015000650105403;180150006501054031;202507
1;180150;006501;054;04;1;3;1;2;2;4;2;1;2;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;4;1;4;1;2;1;2913;53,5010452217334;180150006501;18015000650105404;180150006501054041;202507
1;180150;006501;054;05;1;1;1;2;2;2;2;1;2;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;1;1;1;2913;53,5010452217334;180150006501;18015000650105405;180150006501054051;202507
1;180150;006501;054;06;1;1;2;1;2;2;2;1;2;3;2;1;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;1;1;2; ;2; ;1;60;2; ;2; ;2; ;2; ;2; ;2; ;1;1;1;1;1;1;1;1;1;2913;53,5010452217334;180150006501;18015000650105406;180150006501054061;202507
1;180150;006501;054;07;1;1;3;1;2;4;3;1;3;3;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;2; ;2;2913;53,5010452217334;180150006501;18015000650105407;180150006501054071;202507
